mode: atomic
ai-chatter/cmd/bot/main.go:20.13,22.78 1 0
ai-chatter/cmd/bot/main.go:22.78,24.3 1 0
ai-chatter/cmd/bot/main.go:26.2,29.33 3 0
ai-chatter/cmd/bot/main.go:29.33,31.17 2 0
ai-chatter/cmd/bot/main.go:31.17,33.4 1 0
ai-chatter/cmd/bot/main.go:33.9,35.4 1 0
ai-chatter/cmd/bot/main.go:38.2,39.16 2 0
ai-chatter/cmd/bot/main.go:39.16,41.3 1 0
ai-chatter/cmd/bot/main.go:44.2,45.50 2 0
ai-chatter/cmd/bot/main.go:45.50,47.3 1 0
ai-chatter/cmd/bot/main.go:48.2,49.47 2 0
ai-chatter/cmd/bot/main.go:49.47,51.3 1 0
ai-chatter/cmd/bot/main.go:53.2,55.16 3 0
ai-chatter/cmd/bot/main.go:55.16,57.3 1 0
ai-chatter/cmd/bot/main.go:59.2,62.27 3 0
ai-chatter/cmd/bot/main.go:62.27,64.17 2 0
ai-chatter/cmd/bot/main.go:64.17,66.4 1 0
ai-chatter/cmd/bot/main.go:66.9,68.4 1 0
ai-chatter/cmd/bot/main.go:71.2,72.31 2 0
ai-chatter/cmd/bot/main.go:72.31,74.17 2 0
ai-chatter/cmd/bot/main.go:74.17,76.4 1 0
ai-chatter/cmd/bot/main.go:76.9,78.4 1 0
ai-chatter/cmd/bot/main.go:82.2,83.27 2 0
ai-chatter/cmd/bot/main.go:83.27,88.65 3 0
ai-chatter/cmd/bot/main.go:88.65,92.4 3 0
ai-chatter/cmd/bot/main.go:92.9,94.4 1 0
ai-chatter/cmd/bot/main.go:95.8,97.3 1 0
ai-chatter/cmd/bot/main.go:99.2,114.16 2 0
ai-chatter/cmd/bot/main.go:114.16,116.3 1 0
ai-chatter/cmd/bot/main.go:118.2,118.33 1 0
ai-chatter/cmd/bot/main.go:121.43,122.16 1 0
ai-chatter/cmd/bot/main.go:122.16,124.3 1 0
ai-chatter/cmd/bot/main.go:125.2,126.16 2 0
ai-chatter/cmd/bot/main.go:126.16,129.3 2 0
ai-chatter/cmd/bot/main.go:130.2,130.21 1 0
ai-chatter/cmd/bot/main.go:133.35,135.16 2 0
ai-chatter/cmd/bot/main.go:135.16,137.3 1 0
ai-chatter/cmd/bot/main.go:138.2,138.37 1 0
ai-chatter/internal/llm/factory.go:35.46,44.2 1 0
ai-chatter/internal/llm/factory.go:46.72,47.35 1 0
ai-chatter/internal/llm/factory.go:48.22,49.105 1 0
ai-chatter/internal/llm/factory.go:50.22,51.57 1 0
ai-chatter/internal/llm/factory.go:52.10,53.63 1 0
ai-chatter/internal/llm/factory.go:57.40,59.2 1 0
ai-chatter/internal/llm/factory.go:61.34,63.35 2 0
ai-chatter/internal/llm/factory.go:63.35,65.3 1 0
ai-chatter/internal/llm/factory.go:66.2,66.15 1 0
ai-chatter/internal/llm/openai.go:22.79,25.31 2 0
ai-chatter/internal/llm/openai.go:25.31,26.24 1 0
ai-chatter/internal/llm/openai.go:26.24,28.4 1 0
ai-chatter/internal/llm/openai.go:30.2,30.27 1 0
ai-chatter/internal/llm/openai.go:33.78,35.19 2 0
ai-chatter/internal/llm/openai.go:35.19,37.3 1 0
ai-chatter/internal/llm/openai.go:39.2,39.35 1 0
ai-chatter/internal/llm/openai.go:39.35,41.21 2 0
ai-chatter/internal/llm/openai.go:41.21,43.4 1 0
ai-chatter/internal/llm/openai.go:44.3,44.18 1 0
ai-chatter/internal/llm/openai.go:44.18,46.4 1 0
ai-chatter/internal/llm/openai.go:47.3,48.85 2 0
ai-chatter/internal/llm/openai.go:50.2,53.3 1 0
ai-chatter/internal/llm/openai.go:56.92,58.2 1 0
ai-chatter/internal/llm/openai.go:60.115,62.29 2 0
ai-chatter/internal/llm/openai.go:62.29,65.45 2 0
ai-chatter/internal/llm/openai.go:65.45,67.4 1 0
ai-chatter/internal/llm/openai.go:68.3,68.31 1 0
ai-chatter/internal/llm/openai.go:71.2,77.20 2 0
ai-chatter/internal/llm/openai.go:77.20,79.30 2 0
ai-chatter/internal/llm/openai.go:79.30,88.4 1 0
ai-chatter/internal/llm/openai.go:89.3,90.26 2 0
ai-chatter/internal/llm/openai.go:93.2,94.16 2 0
ai-chatter/internal/llm/openai.go:94.16,96.3 1 0
ai-chatter/internal/llm/openai.go:98.2,107.48 5 0
ai-chatter/internal/llm/openai.go:107.48,108.56 1 0
ai-chatter/internal/llm/openai.go:108.56,117.4 1 0
ai-chatter/internal/llm/openai.go:120.2,120.17 1 0
ai-chatter/internal/llm/openai.go:124.56,126.62 2 0
ai-chatter/internal/llm/openai.go:126.62,128.3 1 0
ai-chatter/internal/llm/openai.go:129.2,129.15 1 0
ai-chatter/internal/llm/tools.go:4.30,66.2 1 0
ai-chatter/internal/llm/yandex.go:15.68,18.16 2 0
ai-chatter/internal/llm/yandex.go:18.16,20.3 1 0
ai-chatter/internal/llm/yandex.go:21.2,22.16 2 0
ai-chatter/internal/llm/yandex.go:22.16,24.3 1 0
ai-chatter/internal/llm/yandex.go:27.2,28.16 2 0
ai-chatter/internal/llm/yandex.go:28.16,30.3 1 0
ai-chatter/internal/llm/yandex.go:32.2,35.8 1 0
ai-chatter/internal/llm/yandex.go:38.92,40.2 1 0
ai-chatter/internal/llm/yandex.go:42.115,46.29 2 0
ai-chatter/internal/llm/yandex.go:46.29,48.3 1 0
ai-chatter/internal/llm/yandex.go:50.2,51.16 2 0
ai-chatter/internal/llm/yandex.go:51.16,53.3 1 0
ai-chatter/internal/llm/yandex.go:54.2,54.48 1 0
ai-chatter/internal/llm/yandex.go:54.48,56.3 1 0
ai-chatter/internal/llm/yandex.go:57.2,63.17 6 0
ai-chatter/internal/config/config.go:54.20,56.39 2 0
ai-chatter/internal/config/config.go:56.39,58.3 1 0
ai-chatter/internal/config/config.go:59.2,59.12 1 0
ai-chatter/cmd/notion-mcp-server/main.go:57.56,64.2 1 0
ai-chatter/cmd/notion-mcp-server/main.go:67.123,69.17 2 0
